epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2373,1.26801,2.47125,1.4252,0.68094,0.34113,0.35208,0.20856,1.19186,2.03953,1.42257,0.000409722,0.000409722,0.000409722
2,57.095,1.34758,1.93707,1.4782,0.83183,0.27489,0.35428,0.2115,1.27247,1.83342,1.48694,0.000818208,0.000818208,0.000818208
3,84.7298,1.37636,1.86889,1.49975,0.28421,0.38193,0.29287,0.12536,1.67088,2.61167,1.90397,0.00121844,0.00121844,0.00121844
4,112.083,1.38339,1.78469,1.51851,0.45187,0.2835,0.33914,0.18056,1.4803,2.09036,1.70713,0.00121287,0.00121287,0.00121287
5,139.596,1.42787,1.82813,1.5452,0.43673,0.43779,0.368,0.20488,1.60391,2.96755,1.78241,0.0012005,0.0012005,0.0012005
6,167.111,1.41907,1.78752,1.52274,0.59172,0.41619,0.43197,0.24554,1.47353,2.09898,1.6367,0.00118812,0.00118812,0.00118812
7,194.656,1.35615,1.61261,1.46698,0.53466,0.53915,0.53034,0.30214,1.29588,1.45049,1.4856,0.00117575,0.00117575,0.00117575
8,222.168,1.36458,1.53271,1.48011,0.4523,0.48919,0.4516,0.26012,1.38405,1.53121,1.57571,0.00116337,0.00116337,0.00116337
9,249.6,1.37342,1.52902,1.51013,0.51933,0.42371,0.42928,0.24531,1.30465,1.87222,1.49986,0.001151,0.001151,0.001151
10,277.082,1.38282,1.52967,1.50319,0.82061,0.49778,0.59215,0.35711,1.21177,1.39599,1.41339,0.00113863,0.00113863,0.00113863
11,304.496,1.27683,1.42192,1.39457,0.67856,0.51355,0.55935,0.34976,1.20819,1.25725,1.4178,0.00112625,0.00112625,0.00112625
12,331.786,1.25428,1.45686,1.42998,0.60269,0.53392,0.58048,0.32142,1.23447,1.32057,1.4489,0.00111388,0.00111388,0.00111388
13,359.101,1.25675,1.36712,1.42053,0.68891,0.56941,0.61597,0.3869,1.1363,1.19227,1.33848,0.0011015,0.0011015,0.0011015
14,386.512,1.24471,1.33515,1.41031,0.69906,0.53715,0.57543,0.36293,1.16629,1.26711,1.39182,0.00108913,0.00108913,0.00108913
15,413.868,1.17337,1.27853,1.34154,0.71166,0.58846,0.64651,0.40393,1.12723,1.12594,1.32528,0.00107675,0.00107675,0.00107675
16,441.275,1.20787,1.28356,1.407,0.7224,0.50663,0.61553,0.40248,1.0832,1.12589,1.32817,0.00106437,0.00106437,0.00106437
17,468.704,1.14574,1.21685,1.3485,0.6572,0.56687,0.63109,0.41753,1.09426,1.06106,1.3257,0.001052,0.001052,0.001052
18,496.142,1.13921,1.11586,1.32566,0.72236,0.64607,0.71201,0.46197,1.07516,0.97658,1.3215,0.00103962,0.00103962,0.00103962
19,523.513,1.14603,1.16909,1.34416,0.6726,0.69166,0.71373,0.48333,1.01036,0.94862,1.28246,0.00102725,0.00102725,0.00102725
20,550.866,1.14178,1.19252,1.35245,0.69943,0.64555,0.67702,0.46035,1.00375,1.00503,1.26206,0.00101488,0.00101488,0.00101488
21,578.209,1.18748,1.22706,1.38161,0.79865,0.63129,0.70586,0.45749,1.12807,1.0456,1.35165,0.0010025,0.0010025,0.0010025
22,605.463,1.10962,1.18711,1.31108,0.73301,0.68382,0.72955,0.48178,1.05314,1.01847,1.25722,0.000990125,0.000990125,0.000990125
23,632.757,1.11232,1.10816,1.31299,0.85247,0.65709,0.75061,0.51291,1.00857,0.91172,1.22583,0.00097775,0.00097775,0.00097775
24,660.177,1.06787,1.06264,1.29912,0.7887,0.65364,0.73253,0.49,1.00572,0.92292,1.22975,0.000965375,0.000965375,0.000965375
25,687.464,1.08941,1.10781,1.30471,0.82303,0.64978,0.73545,0.47831,1.02542,0.96922,1.24826,0.000953,0.000953,0.000953
26,714.751,1.05924,1.06935,1.26665,0.71822,0.67584,0.70545,0.48856,0.96499,1.0016,1.22309,0.000940625,0.000940625,0.000940625
27,742.033,1.04065,1.0616,1.27464,0.80008,0.62786,0.73694,0.49345,1.01427,0.96029,1.2296,0.00092825,0.00092825,0.00092825
28,769.272,1.02614,1.04737,1.25208,0.78584,0.6659,0.76313,0.50347,0.97438,0.91144,1.21624,0.000915875,0.000915875,0.000915875
29,796.624,1.01973,1.02748,1.236,0.77293,0.67055,0.75107,0.50684,1.00208,0.85155,1.2454,0.0009035,0.0009035,0.0009035
30,823.88,1.02473,0.97703,1.25716,0.78938,0.72451,0.76399,0.53588,0.93451,0.8069,1.21096,0.000891125,0.000891125,0.000891125
31,851.271,1.00247,0.96239,1.24162,0.82829,0.71563,0.78979,0.54444,0.94709,0.80323,1.20005,0.00087875,0.00087875,0.00087875
32,878.65,0.9851,0.95983,1.22171,0.79206,0.70085,0.77761,0.53376,0.90287,0.7832,1.16784,0.000866375,0.000866375,0.000866375
33,905.926,0.98172,0.93052,1.2276,0.8062,0.73166,0.79075,0.54152,0.93456,0.78344,1.182,0.000854,0.000854,0.000854
34,933.15,0.96287,0.913,1.20799,0.88783,0.7045,0.82906,0.56388,0.90881,0.71724,1.17347,0.000841625,0.000841625,0.000841625
35,960.654,0.99586,0.97597,1.24986,0.77057,0.79924,0.78706,0.54431,0.90452,0.74193,1.18501,0.00082925,0.00082925,0.00082925
36,987.904,0.92221,0.89318,1.18433,0.76852,0.78244,0.81045,0.55629,0.90186,0.78552,1.19015,0.000816875,0.000816875,0.000816875
37,1015.26,0.969,0.91221,1.22787,0.8805,0.80436,0.84508,0.56266,0.90307,0.73476,1.19179,0.0008045,0.0008045,0.0008045
38,1042.51,0.91576,0.8453,1.19244,0.84332,0.76179,0.8294,0.55981,0.91458,0.72418,1.18911,0.000792125,0.000792125,0.000792125
39,1069.84,0.91393,0.84564,1.17311,0.82359,0.7967,0.83387,0.5619,0.89425,0.74531,1.18031,0.00077975,0.00077975,0.00077975
40,1097.13,0.89755,0.85078,1.17521,0.88015,0.74058,0.81965,0.57163,0.90893,0.71665,1.16581,0.000767375,0.000767375,0.000767375
41,1124.52,0.8955,0.81817,1.1794,0.86514,0.75242,0.81696,0.5601,0.8986,0.70198,1.17857,0.000755,0.000755,0.000755
42,1151.88,0.91493,0.83826,1.20057,0.92048,0.72737,0.83097,0.56503,0.9017,0.71737,1.19343,0.000742625,0.000742625,0.000742625
43,1179.22,0.89387,0.80238,1.16742,0.82095,0.80231,0.80292,0.57147,0.87344,0.7234,1.16281,0.00073025,0.00073025,0.00073025
44,1206.54,0.88785,0.76907,1.16848,0.85125,0.80739,0.84008,0.59204,0.89833,0.69276,1.16292,0.000717875,0.000717875,0.000717875
45,1233.99,0.88069,0.80438,1.17587,0.87137,0.78043,0.84914,0.57706,0.87899,0.70164,1.1541,0.0007055,0.0007055,0.0007055
46,1261.39,0.84431,0.76859,1.12403,0.88471,0.78959,0.87414,0.58965,0.87426,0.64894,1.15119,0.000693125,0.000693125,0.000693125
47,1288.82,0.87786,0.7675,1.14821,0.84352,0.80186,0.86355,0.60396,0.84475,0.66707,1.1226,0.00068075,0.00068075,0.00068075
48,1316.37,0.84315,0.75448,1.14298,0.83197,0.86462,0.87861,0.60633,0.84044,0.63651,1.11778,0.000668375,0.000668375,0.000668375
49,1343.97,0.85437,0.77878,1.16321,0.87082,0.782,0.86222,0.59048,0.8619,0.65391,1.10571,0.000656,0.000656,0.000656
50,1371.26,0.86402,0.76732,1.17071,0.90303,0.78558,0.86079,0.60682,0.85964,0.68332,1.12846,0.000643625,0.000643625,0.000643625
51,1398.96,0.85266,0.75293,1.15338,0.87815,0.82077,0.86234,0.60574,0.85953,0.65266,1.1562,0.00063125,0.00063125,0.00063125
52,1426.38,0.83608,0.76796,1.14543,0.85704,0.78337,0.84036,0.59271,0.86362,0.67525,1.1447,0.000618875,0.000618875,0.000618875
