epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3448,1.37875,2.43042,1.45833,0.53337,0.25334,0.23406,0.12593,1.61828,4.19909,1.85921,0.000415162,0.000415162,0.000415162
2,60.2195,1.62518,2.33706,1.66123,0.34208,0.23873,0.24448,0.10639,1.99895,2.51876,2.30064,0.000823594,0.000823594,0.000823594
3,89.3517,1.73105,2.42035,1.74224,0.43142,0.20045,0.15827,0.08547,1.87901,3.04071,2.03078,0.00122378,0.00122378,0.00122378
4,118.276,1.76355,2.43887,1.74482,0.25305,0.31459,0.23281,0.1118,1.79866,3.0545,1.95803,0.00121287,0.00121287,0.00121287
5,147.145,1.71006,2.3573,1.74783,0.55125,0.30658,0.29379,0.14546,1.77494,2.25185,1.94672,0.0012005,0.0012005,0.0012005
6,175.938,1.68167,2.31849,1.72629,0.60286,0.30193,0.34012,0.19685,1.59953,2.17218,1.77148,0.00118812,0.00118812,0.00118812
7,204.993,1.6416,2.25938,1.70213,0.4701,0.34535,0.34299,0.20314,1.53327,2.23652,1.70474,0.00117575,0.00117575,0.00117575
8,234.01,1.59161,2.15841,1.66464,0.55718,0.40674,0.43221,0.24157,1.51716,1.97359,1.70554,0.00116337,0.00116337,0.00116337
9,264.306,1.53955,2.1004,1.62492,0.56047,0.38456,0.40167,0.25124,1.46927,1.81584,1.65964,0.001151,0.001151,0.001151
10,293.517,1.53367,2.05165,1.62058,0.46648,0.40559,0.4213,0.25692,1.48242,1.89877,1.68392,0.00113863,0.00113863,0.00113863
11,323.062,1.49167,2.03866,1.59527,0.47132,0.55253,0.50176,0.29516,1.43826,1.83848,1.64595,0.00112625,0.00112625,0.00112625
12,352.688,1.44962,1.95009,1.56753,0.54472,0.45388,0.47533,0.28674,1.39526,1.73633,1.60862,0.00111388,0.00111388,0.00111388
13,382.666,1.45138,1.91757,1.5533,0.5142,0.47287,0.46687,0.31395,1.36243,1.72389,1.57208,0.0011015,0.0011015,0.0011015
14,418.503,1.38569,1.82481,1.51994,0.58982,0.4473,0.49248,0.3212,1.32862,1.65734,1.5524,0.00108913,0.00108913,0.00108913
15,29.3691,1.38268,1.80515,1.50267,0.54384,0.47609,0.48524,0.3122,1.35761,1.67834,1.58909,0.00107675,0.00107675,0.00107675
16,57.2586,1.37268,1.79426,1.50116,0.58026,0.53629,0.50665,0.33175,1.31204,1.55865,1.54149,0.00106437,0.00106437,0.00106437
17,85.5192,1.35758,1.72545,1.49383,0.52099,0.45936,0.48871,0.33459,1.38918,1.59848,1.59304,0.001052,0.001052,0.001052
18,113.509,1.34382,1.7244,1.47861,0.61308,0.4932,0.5122,0.35905,1.29056,1.59719,1.49374,0.00103962,0.00103962,0.00103962
19,141.932,1.3355,1.679,1.46995,0.63457,0.50616,0.55171,0.37879,1.26482,1.5598,1.4855,0.00102725,0.00102725,0.00102725
20,170.349,1.31334,1.6625,1.47369,0.78352,0.49899,0.56721,0.38628,1.26212,1.42708,1.50115,0.00101488,0.00101488,0.00101488
21,198.054,1.30288,1.66079,1.46664,0.53238,0.51538,0.52389,0.34871,1.23669,1.49876,1.47983,0.0010025,0.0010025,0.0010025
22,225.886,1.25487,1.58718,1.42783,0.60133,0.53591,0.5672,0.39433,1.18364,1.41989,1.42965,0.000990125,0.000990125,0.000990125
23,253.815,1.2531,1.5773,1.42896,0.61058,0.52915,0.54794,0.38723,1.2085,1.46374,1.45105,0.00097775,0.00097775,0.00097775
24,281.796,1.26667,1.58856,1.4339,0.67842,0.56485,0.60107,0.40708,1.25715,1.37139,1.497,0.000965375,0.000965375,0.000965375
25,309.869,1.26764,1.55378,1.43751,0.68932,0.49469,0.55996,0.38806,1.2293,1.3676,1.45415,0.000953,0.000953,0.000953
26,337.838,1.22638,1.48498,1.41876,0.74789,0.53162,0.58339,0.41428,1.23733,1.37575,1.51785,0.000940625,0.000940625,0.000940625
27,365.848,1.21896,1.47952,1.40734,0.65634,0.53367,0.58936,0.40875,1.25151,1.45699,1.49712,0.00092825,0.00092825,0.00092825
28,393.997,1.21765,1.45979,1.38856,0.6815,0.52398,0.59364,0.42591,1.19987,1.28412,1.44306,0.000915875,0.000915875,0.000915875
29,421.995,1.18729,1.38898,1.35739,0.62943,0.59089,0.60641,0.43761,1.12862,1.24519,1.37065,0.0009035,0.0009035,0.0009035
30,450.192,1.21815,1.42295,1.38748,0.63406,0.54561,0.58686,0.42804,1.14724,1.26954,1.3826,0.000891125,0.000891125,0.000891125
31,478.449,1.17208,1.42121,1.37033,0.77734,0.5702,0.63978,0.43098,1.25584,1.26166,1.48833,0.00087875,0.00087875,0.00087875
32,506.539,1.17741,1.36874,1.37484,0.69828,0.56963,0.63586,0.44315,1.13503,1.24113,1.39932,0.000866375,0.000866375,0.000866375
33,534.932,1.1596,1.38673,1.35617,0.66226,0.5328,0.58048,0.42593,1.1366,1.23234,1.37677,0.000854,0.000854,0.000854
34,563.265,1.15795,1.36102,1.35167,0.74269,0.55883,0.63135,0.4597,1.14722,1.18774,1.38596,0.000841625,0.000841625,0.000841625
35,591.32,1.16503,1.37218,1.35566,0.73711,0.57385,0.60709,0.45442,1.09408,1.18948,1.36113,0.00082925,0.00082925,0.00082925
36,619.376,1.13987,1.31815,1.33296,0.78262,0.53659,0.62172,0.46474,1.11494,1.24457,1.3738,0.000816875,0.000816875,0.000816875
37,647.647,1.14412,1.31193,1.33678,0.72298,0.62613,0.65552,0.48769,1.04377,1.13402,1.30926,0.0008045,0.0008045,0.0008045
38,675.885,1.13224,1.29673,1.33549,0.71919,0.61253,0.64938,0.47564,1.10101,1.13696,1.35511,0.000792125,0.000792125,0.000792125
39,704.079,1.12456,1.28909,1.33199,0.69671,0.61529,0.64885,0.47064,1.11573,1.14003,1.36224,0.00077975,0.00077975,0.00077975
40,733.008,1.11317,1.25352,1.32693,0.6993,0.63982,0.65604,0.48642,1.08878,1.13618,1.34029,0.000767375,0.000767375,0.000767375
41,761.619,1.08666,1.2174,1.29693,0.71014,0.60913,0.63662,0.45555,1.13591,1.16295,1.37658,0.000755,0.000755,0.000755
42,789.702,1.07119,1.20496,1.30669,0.74548,0.5972,0.664,0.49477,1.07881,1.09403,1.31684,0.000742625,0.000742625,0.000742625
43,818.049,1.09378,1.22722,1.30698,0.76693,0.60047,0.6602,0.47527,1.11362,1.16351,1.36025,0.00073025,0.00073025,0.00073025
44,846.121,1.08457,1.20225,1.29867,0.71506,0.63796,0.66547,0.49148,1.09354,1.13134,1.35131,0.000717875,0.000717875,0.000717875
45,874.169,1.07965,1.16949,1.29079,0.72083,0.67539,0.66853,0.49096,1.08586,1.12749,1.32738,0.0007055,0.0007055,0.0007055
46,902.307,1.05944,1.14086,1.27077,0.69635,0.65435,0.67233,0.51134,1.02851,1.0915,1.30756,0.000693125,0.000693125,0.000693125
47,930.359,1.05828,1.17055,1.27449,0.77429,0.63432,0.67133,0.49515,1.1021,1.10827,1.35003,0.00068075,0.00068075,0.00068075
48,958.399,1.06376,1.11937,1.27365,0.71946,0.60993,0.6609,0.49619,1.06941,1.18835,1.30824,0.000668375,0.000668375,0.000668375
49,986.33,1.03057,1.11804,1.26399,0.78191,0.63446,0.67634,0.51212,1.02462,1.12421,1.28755,0.000656,0.000656,0.000656
50,1014.57,1.03186,1.11941,1.26685,0.73278,0.64305,0.66777,0.49909,1.02685,1.10192,1.31006,0.000643625,0.000643625,0.000643625
51,1042.61,1.03484,1.12083,1.2582,0.75987,0.62983,0.67717,0.50175,1.055,1.0852,1.31262,0.00063125,0.00063125,0.00063125
52,1070.65,0.99626,1.09275,1.24072,0.6814,0.60308,0.65965,0.48992,1.00158,1.1122,1.26627,0.000618875,0.000618875,0.000618875
53,1098.56,1.02435,1.08288,1.25575,0.7941,0.60606,0.67709,0.50644,1.06418,1.06371,1.32222,0.0006065,0.0006065,0.0006065
54,1126.78,1.00478,1.06161,1.2426,0.81628,0.58823,0.68687,0.49924,1.03446,1.05277,1.31252,0.000594125,0.000594125,0.000594125
55,1154.7,0.98395,1.06281,1.22755,0.75068,0.6341,0.6877,0.50609,1.01531,1.07129,1.28282,0.00058175,0.00058175,0.00058175
56,1182.78,0.97853,1.04376,1.22953,0.75298,0.64388,0.69849,0.5153,0.99585,1.03865,1.2481,0.000569375,0.000569375,0.000569375
57,1211.28,0.99191,1.01898,1.23221,0.70232,0.6593,0.66865,0.50053,1.03535,1.101,1.28843,0.000557,0.000557,0.000557
58,1239.29,0.98128,0.99706,1.22425,0.7394,0.6547,0.69514,0.51808,1.00798,1.06006,1.27698,0.000544625,0.000544625,0.000544625
59,1267.34,0.96953,1.00175,1.21659,0.76516,0.58018,0.66257,0.5041,0.98641,1.04869,1.24198,0.00053225,0.00053225,0.00053225
60,1295.15,0.95671,0.98858,1.21903,0.74847,0.63379,0.68913,0.52453,1.02079,1.11573,1.26857,0.000519875,0.000519875,0.000519875
61,1323.1,0.95514,0.96791,1.20632,0.80126,0.61997,0.68885,0.52312,0.96708,1.04699,1.22852,0.0005075,0.0005075,0.0005075
62,1351.12,0.95934,0.9761,1.21241,0.80455,0.58337,0.67345,0.49467,1.033,1.09354,1.27543,0.000495125,0.000495125,0.000495125
63,1378.86,0.92745,0.9549,1.20595,0.72488,0.64347,0.69528,0.52142,0.99611,1.04074,1.25011,0.00048275,0.00048275,0.00048275
64,1406.88,0.94029,0.9479,1.20346,0.80767,0.60626,0.68817,0.52327,1.00509,1.03823,1.25229,0.000470375,0.000470375,0.000470375
65,1434.83,0.91924,0.9113,1.18742,0.72774,0.66903,0.70163,0.52731,1.06746,1.05561,1.31838,0.000458,0.000458,0.000458
66,1462.84,0.92625,0.92253,1.18689,0.76693,0.60331,0.68074,0.52292,1.00162,1.03708,1.25411,0.000445625,0.000445625,0.000445625
67,1490.79,0.93433,0.93441,1.18421,0.78363,0.603,0.6878,0.52211,0.97594,1.04778,1.24424,0.00043325,0.00043325,0.00043325
68,1518.62,0.91884,0.90782,1.19224,0.77553,0.63422,0.70579,0.54547,0.98262,0.9907,1.23855,0.000420875,0.000420875,0.000420875
69,1546.46,0.91203,0.9067,1.17183,0.78938,0.60694,0.68284,0.52702,0.96561,1.00831,1.22,0.0004085,0.0004085,0.0004085
70,1574.22,0.93741,0.92482,1.19213,0.75176,0.63049,0.70368,0.5377,0.99118,1.01186,1.25436,0.000396125,0.000396125,0.000396125
71,1602.05,0.91939,0.89933,1.17183,0.66373,0.67878,0.6914,0.52449,1.00101,1.02559,1.23735,0.00038375,0.00038375,0.00038375
72,1629.9,0.88987,0.88476,1.17009,0.84464,0.60596,0.69744,0.52965,0.96996,1.0191,1.23742,0.000371375,0.000371375,0.000371375
73,1657.68,0.90843,0.8836,1.17443,0.78121,0.6334,0.6899,0.52865,0.95689,1.02423,1.21238,0.000359,0.000359,0.000359
74,1685.57,0.8924,0.87106,1.17923,0.78711,0.63568,0.67583,0.52842,0.96918,1.08827,1.22396,0.000346625,0.000346625,0.000346625
75,1713.61,0.88082,0.84567,1.15469,0.81425,0.65452,0.70555,0.53312,0.95226,1.009,1.21702,0.00033425,0.00033425,0.00033425
76,1741.41,0.88208,0.85163,1.17,0.8075,0.64519,0.68161,0.52789,0.98584,0.99059,1.22241,0.000321875,0.000321875,0.000321875
77,1769.35,0.88459,0.83501,1.16397,0.79311,0.64319,0.70374,0.53601,0.97113,1.02578,1.21993,0.0003095,0.0003095,0.0003095
78,6109.14,0.85774,0.82564,1.14725,0.75071,0.65445,0.67959,0.52052,0.98909,1.06313,1.25103,0.000297125,0.000297125,0.000297125
79,6137.33,0.86951,0.82044,1.14758,0.76636,0.66,0.70376,0.54993,0.92629,0.9545,1.18931,0.00028475,0.00028475,0.00028475
80,6165.41,0.83985,0.78636,1.13815,0.73355,0.65965,0.68849,0.53385,0.94033,1.01765,1.18856,0.000272375,0.000272375,0.000272375
81,6193.03,0.831,0.78795,1.13633,0.75354,0.6214,0.67646,0.5228,0.95024,1.07784,1.21984,0.00026,0.00026,0.00026
82,6221.03,0.86588,0.80741,1.14837,0.75492,0.64812,0.69336,0.53959,0.9496,1.04413,1.20995,0.000247625,0.000247625,0.000247625
83,6249.26,0.83775,0.79081,1.13698,0.72192,0.64077,0.68249,0.52348,0.96891,0.99679,1.231,0.00023525,0.00023525,0.00023525
84,6277.05,0.84272,0.77574,1.13414,0.74221,0.65303,0.71304,0.55492,0.92032,0.95417,1.18896,0.000222875,0.000222875,0.000222875
85,6304.99,0.8094,0.75774,1.12598,0.74671,0.68817,0.71375,0.5546,0.94777,1.02128,1.22633,0.0002105,0.0002105,0.0002105
86,6332.99,0.81063,0.76558,1.13567,0.68782,0.6656,0.70077,0.54444,0.93363,0.94666,1.20673,0.000198125,0.000198125,0.000198125
87,6360.85,0.80115,0.74802,1.12343,0.74295,0.67228,0.71691,0.54751,0.93963,0.95315,1.20644,0.00018575,0.00018575,0.00018575
88,6388.68,0.81401,0.75768,1.12542,0.755,0.64924,0.70683,0.55005,0.93364,0.96155,1.20274,0.000173375,0.000173375,0.000173375
89,6416.33,0.81222,0.74981,1.12064,0.76179,0.66211,0.70574,0.543,0.93525,0.96569,1.19814,0.000161,0.000161,0.000161
90,6444.41,0.79886,0.74097,1.12259,0.7676,0.65197,0.70426,0.546,0.95493,0.97586,1.21754,0.000148625,0.000148625,0.000148625
91,6471.12,0.71021,0.58749,1.05289,0.76857,0.64358,0.69774,0.53933,0.96177,1.02078,1.22285,0.00013625,0.00013625,0.00013625
92,6497.67,0.69879,0.55584,1.03722,0.78093,0.633,0.70175,0.5491,0.92541,0.98745,1.19128,0.000123875,0.000123875,0.000123875
93,6524.31,0.67604,0.54261,1.01742,0.76741,0.65313,0.70236,0.55071,0.93389,0.9944,1.19094,0.0001115,0.0001115,0.0001115
94,6550.93,0.67702,0.54247,1.02758,0.75103,0.65585,0.70117,0.54246,0.9478,0.9902,1.21491,9.9125e-05,9.9125e-05,9.9125e-05
95,6577.66,0.66041,0.52877,1.01144,0.75614,0.62359,0.69809,0.54763,0.9147,0.98138,1.1749,8.675e-05,8.675e-05,8.675e-05
96,6604.37,0.65503,0.51555,1.00921,0.69524,0.69015,0.69643,0.55136,0.91429,0.98475,1.18139,7.4375e-05,7.4375e-05,7.4375e-05
97,6630.93,0.65234,0.51499,1.00958,0.73214,0.68742,0.69255,0.54292,0.92992,0.98831,1.20238,6.2e-05,6.2e-05,6.2e-05
98,6657.56,0.648,0.50569,1.0126,0.7409,0.66568,0.70563,0.5546,0.92718,0.96743,1.19496,4.9625e-05,4.9625e-05,4.9625e-05
99,6684.12,0.6413,0.49709,0.99974,0.73365,0.66515,0.70363,0.56382,0.9188,0.96166,1.18557,3.725e-05,3.725e-05,3.725e-05
100,6710.76,0.63956,0.49934,1.00743,0.72146,0.69289,0.70483,0.55772,0.92209,0.97512,1.18962,2.4875e-05,2.4875e-05,2.4875e-05
