epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,40.4262,1.33825,1.75347,1.3742,0.69556,0.53428,0.57019,0.39763,1.20187,1.23625,1.2866,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197
2,72.7239,1.36466,1.4272,1.39412,0.49124,0.53506,0.49696,0.30917,1.32946,1.42733,1.40828,0.0199337,0.00664457,0.0199337,0.00664457,0.0199337,0.00664457,0.0199337,0.00664457
3,100.696,1.496,1.60501,1.4946,0.35874,0.30731,0.25094,0.12383,1.82035,2.27532,1.89206,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426
4,128.506,1.6581,1.90606,1.63859,0.5725,0.31343,0.30195,0.16447,1.73377,2.8656,1.82085,0.0299704,0.00999014,0.0299704,0.00999014,0.0299704,0.00999014,0.0299704,0.00999014
5,155.315,1.63964,1.87138,1.64755,0.42902,0.33232,0.33146,0.18603,1.69812,2.13059,1.77695,0.0299474,0.00998248,0.0299474,0.00998248,0.0299474,0.00998248,0.0299474,0.00998248
6,182.607,1.61856,1.81077,1.63144,0.65501,0.3665,0.40102,0.22054,1.66113,1.93557,1.73696,0.0299179,0.00997264,0.0299179,0.00997264,0.0299179,0.00997264,0.0299179,0.00997264
7,210.086,1.58189,1.76614,1.60352,0.69759,0.37898,0.43777,0.26127,1.5704,1.71287,1.65443,0.0298818,0.00996061,0.0298818,0.00996061,0.0298818,0.00996061,0.0298818,0.00996061
8,237.079,1.56043,1.73088,1.5904,0.4444,0.38305,0.46043,0.26117,1.59384,1.68015,1.68192,0.0298392,0.00994642,0.0298392,0.00994642,0.0298392,0.00994642,0.0298392,0.00994642
9,264.329,1.54493,1.70642,1.58295,0.54315,0.49799,0.52196,0.30614,1.52626,1.56839,1.62523,0.0297902,0.00993005,0.0297902,0.00993005,0.0297902,0.00993005,0.0297902,0.00993005
10,291.087,1.52097,1.65353,1.56562,0.65151,0.48824,0.57195,0.35948,1.45098,1.46198,1.544,0.0297346,0.00991152,0.0297346,0.00991152,0.0297346,0.00991152,0.0297346,0.00991152
11,318.117,1.49605,1.63605,1.55311,0.60855,0.51381,0.55598,0.33653,1.47026,1.49191,1.5753,0.0296725,0.00989085,0.0296725,0.00989085,0.0296725,0.00989085,0.0296725,0.00989085
12,345.134,1.48331,1.58197,1.54442,0.61761,0.58018,0.60156,0.38198,1.4466,1.48892,1.55828,0.0296041,0.00986803,0.0296041,0.00986803,0.0296041,0.00986803,0.0296041,0.00986803
13,371.771,1.45799,1.55221,1.51078,0.64076,0.62253,0.6388,0.42287,1.395,1.37893,1.49805,0.0295292,0.00984307,0.0295292,0.00984307,0.0295292,0.00984307,0.0295292,0.00984307
14,398.624,1.44885,1.52919,1.51181,0.71593,0.55052,0.62615,0.39641,1.40167,1.42713,1.50555,0.029448,0.009816,0.029448,0.009816,0.029448,0.009816,0.029448,0.009816
15,425.625,1.44674,1.50652,1.50587,0.58708,0.65045,0.63153,0.40744,1.39466,1.42726,1.50018,0.0293604,0.00978681,0.0293604,0.00978681,0.0293604,0.00978681,0.0293604,0.00978681
16,452.546,1.42245,1.49108,1.49782,0.60371,0.58031,0.60284,0.39127,1.39844,1.35452,1.51833,0.0292666,0.00975553,0.0292666,0.00975553,0.0292666,0.00975553,0.0292666,0.00975553
17,479.631,1.41333,1.46525,1.47679,0.72335,0.61088,0.66938,0.44082,1.37811,1.34204,1.48908,0.0291665,0.00972216,0.0291665,0.00972216,0.0291665,0.00972216,0.0291665,0.00972216
18,506.736,1.41758,1.45557,1.47792,0.71062,0.63692,0.67558,0.45039,1.38532,1.30859,1.49769,0.0290602,0.00968672,0.0290602,0.00968672,0.0290602,0.00968672,0.0290602,0.00968672
19,534.032,1.39053,1.42566,1.46968,0.75554,0.57172,0.65714,0.44845,1.36386,1.35008,1.4896,0.0289477,0.00964923,0.0289477,0.00964923,0.0289477,0.00964923,0.0289477,0.00964923
20,561.48,1.38085,1.40804,1.46378,0.70093,0.60224,0.66352,0.4263,1.41066,1.27267,1.50584,0.0288291,0.00960971,0.0288291,0.00960971,0.0288291,0.00960971,0.0288291,0.00960971
21,588.546,1.3762,1.41119,1.4593,0.76661,0.62317,0.71176,0.4817,1.34311,1.2558,1.45597,0.0287045,0.00956816,0.0287045,0.00956816,0.0287045,0.00956816,0.0287045,0.00956816
22,615.942,1.36987,1.39914,1.45551,0.77575,0.58558,0.6715,0.44546,1.36668,1.27844,1.47495,0.0285738,0.00952461,0.0285738,0.00952461,0.0285738,0.00952461,0.0285738,0.00952461
