t_epoch,t_rel,total_frames,window,dnd,idle,privacy,emergency,alert_active,primary_proc,secondary_proc,secondary_drop
1776502091.126,0.006,2371,active_or_baseline,0,0,0,0,0,0,0,0
1776502092.112,1.000,2423,active_or_baseline,0,0,0,0,0,0,0,0
1776502093.106,2.000,2475,active_or_baseline,0,0,0,0,0,0,0,0
1776502094.116,3.000,2521,active_or_baseline,0,0,0,0,0,0,0,0
1776502095.120,4.000,2562,active_or_baseline,0,0,0,0,0,0,0,0
1776502096.108,5.000,2609,active_or_baseline,0,0,0,0,0,0,0,0
1776502097.118,6.003,2657,active_or_baseline,0,0,0,0,0,0,0,0
1776502098.112,7.000,2694,active_or_baseline,0,0,0,0,0,0,0,0
1776502099.115,8.000,2746,active_or_baseline,0,0,0,0,0,0,0,0
1776502100.115,9.002,2798,active_or_baseline,0,0,0,0,0,0,0,0
1776502101.110,10.000,2850,active_or_baseline,0,0,0,0,0,0,0,0
1776502102.124,11.000,2903,active_or_baseline,0,0,0,0,0,0,0,0
1776502103.115,12.000,2955,active_or_baseline,0,0,0,0,0,0,0,0
1776502104.105,13.000,3007,active_or_baseline,0,0,0,0,0,0,0,0
1776502105.105,14.000,3059,active_or_baseline,0,0,0,0,0,0,0,0
1776502106.112,15.002,3109,active_or_baseline,0,0,0,0,0,0,0,0
1776502107.109,16.000,3164,active_or_baseline,0,0,0,0,0,0,0,0
1776502108.108,17.000,3216,active_or_baseline,0,0,0,0,0,0,0,0
1776502109.113,18.000,3269,active_or_baseline,0,0,0,0,0,0,0,0
1776502110.107,19.000,3321,active_or_baseline,0,0,0,0,0,0,0,0
1776502111.105,20.000,3373,active_or_baseline,0,0,0,0,0,0,0,0
1776502112.106,21.000,3425,active_or_baseline,0,0,0,0,0,0,0,0
1776502113.107,22.001,3478,active_or_baseline,0,0,0,0,0,0,0,0
1776502114.106,23.000,3530,active_or_baseline,0,0,0,0,0,0,0,0
1776502115.107,24.001,3582,active_or_baseline,0,0,0,0,0,0,0,0
1776502116.112,25.000,3635,active_or_baseline,0,0,0,0,0,0,0,0
1776502117.106,26.000,3687,active_or_baseline,0,0,0,0,0,0,0,0
1776502118.111,27.000,3739,active_or_baseline,0,0,0,0,0,0,0,0
1776502119.106,28.000,3791,active_or_baseline,0,0,0,0,0,0,0,0
1776502120.107,29.000,3844,active_or_baseline,0,0,0,0,0,0,0,0
1776502121.108,30.000,3896,active_or_baseline,0,0,0,0,0,0,0,0
1776502122.105,31.000,3948,active_or_baseline,0,0,0,0,1,0,0,0
1776502123.111,32.000,4001,active_or_baseline,0,0,0,0,1,0,0,0
1776502124.105,33.000,4053,active_or_baseline,0,0,0,0,1,0,0,0
1776502125.108,34.000,4105,active_or_baseline,0,0,0,0,1,0,0,0
1776502126.111,35.003,4158,active_or_baseline,0,0,0,0,0,0,0,0
1776502127.108,36.000,4210,active_or_baseline,0,0,0,0,0,0,0,0
1776502128.107,37.000,4262,active_or_baseline,0,0,0,0,0,0,0,0
1776502129.106,38.000,4314,active_or_baseline,0,0,0,0,0,0,0,0
1776502130.108,39.000,4367,active_or_baseline,0,0,0,0,0,0,0,0
1776502131.107,40.000,4419,active_or_baseline,0,0,0,0,0,0,0,0
1776502132.107,41.000,4472,active_or_baseline,0,0,0,0,0,0,0,0
1776502133.108,42.000,4524,active_or_baseline,0,0,0,0,0,0,0,0
1776502134.106,43.000,4576,active_or_baseline,0,0,0,0,0,0,0,0
1776502135.111,44.000,4629,active_or_baseline,0,0,0,0,0,0,0,0
1776502136.112,45.000,4681,active_or_baseline,0,0,0,0,0,0,0,0
1776502137.106,46.001,4733,active_or_baseline,0,0,0,0,0,0,0,0
1776502138.107,47.000,4785,active_or_baseline,0,0,0,0,0,0,0,0
1776502139.110,48.003,4838,active_or_baseline,0,0,0,0,0,0,0,0
1776502140.111,49.005,4888,active_or_baseline,0,0,0,0,0,0,0,0
1776502141.106,50.000,4942,active_or_baseline,0,0,0,0,0,0,0,0
1776502142.105,51.000,4994,active_or_baseline,0,0,0,0,0,0,0,0
1776502143.110,52.000,5047,active_or_baseline,0,0,0,0,0,0,0,0
1776502144.108,53.002,5099,active_or_baseline,0,0,0,0,0,0,0,0
1776502145.106,54.000,5151,active_or_baseline,0,0,0,0,0,0,0,0
1776502146.108,55.000,5204,active_or_baseline,0,0,0,0,0,0,0,0
1776502147.106,56.000,5256,active_or_baseline,0,0,0,0,0,0,0,0
1776502148.110,57.000,5308,active_or_baseline,0,0,0,0,0,0,0,0
1776502149.107,58.000,5361,active_or_baseline,0,0,0,0,0,0,0,0
1776502150.116,59.000,5413,active_or_baseline,0,0,0,0,0,0,0,0
1776502151.112,60.003,5465,active_or_baseline,0,0,0,0,0,0,0,0
1776502152.105,61.000,5517,active_or_baseline,0,0,0,0,0,0,0,0
1776502153.109,62.003,5570,idle,0,1,0,0,0,0,0,0
1776502154.112,63.001,5622,idle,0,1,0,0,0,0,0,0
1776502155.105,64.000,5674,idle,0,1,0,0,0,0,0,0
1776502156.106,65.000,5726,idle,0,1,0,0,0,0,0,0
1776502157.117,66.005,5779,idle,0,1,0,0,0,0,0,0
1776502158.108,67.000,5831,idle,0,1,0,0,0,0,0,0
1776502159.108,68.000,5883,idle,0,1,0,0,0,0,0,0
1776502160.112,69.000,5935,idle,0,1,0,0,0,0,0,0
1776502161.109,70.000,5979,idle,0,1,0,0,0,0,0,0
1776502162.111,71.000,6028,idle,0,1,0,0,0,0,0,0
1776502163.122,72.000,6077,idle,0,1,0,0,0,0,0,0
1776502164.111,73.000,6129,idle,0,1,0,0,0,0,0,0
1776502165.116,74.000,6182,idle,0,1,0,0,0,0,0,0
1776502166.106,75.000,6233,idle,0,1,0,0,0,0,0,0
1776502167.113,76.000,6285,idle,0,1,0,0,0,0,0,0
1776502168.109,77.002,6336,idle,0,1,0,0,0,0,0,0
1776502169.107,78.000,6388,idle,0,1,0,0,0,0,0,0
1776502170.111,79.000,6441,idle,0,1,0,0,0,0,0,0
1776502171.110,80.000,6493,idle,0,1,0,0,0,0,0,0
1776502172.107,81.000,6540,idle,0,1,0,0,0,0,0,0
1776502173.111,82.000,6592,idle,0,1,0,0,0,0,0,0
1776502174.107,83.000,6644,idle,0,1,0,0,0,0,0,0
1776502175.111,84.000,6697,idle,0,1,0,0,0,0,0,0
1776502176.124,85.000,6750,idle,0,1,0,0,0,0,0,0
1776502177.111,86.001,6796,idle,0,1,0,0,0,0,0,0
1776502178.110,87.000,6842,idle,0,1,0,0,0,0,0,0
1776502179.118,88.000,6894,idle,0,1,0,0,0,0,0,0
1776502180.107,89.000,6943,idle,0,1,0,0,0,0,0,0
1776502181.112,90.000,6996,idle,0,1,0,0,0,0,0,0
1776502182.113,91.000,7048,idle,0,1,0,0,0,0,0,0
1776502183.109,92.000,7097,idle,0,1,0,0,0,0,0,0
1776502184.114,93.000,7145,idle,0,1,0,0,0,0,0,0
1776502185.109,94.000,7197,idle,0,1,0,0,0,0,0,0
1776502186.109,95.000,7249,idle,0,1,0,0,0,0,0,0
1776502187.110,96.000,7302,idle,0,1,0,0,0,0,0,0
1776502188.110,97.003,7354,idle,0,1,0,0,0,0,0,0
1776502189.107,98.000,7406,idle,0,1,0,0,0,0,0,0
1776502190.105,99.000,7458,idle,0,1,0,0,0,0,0,0
1776502191.113,100.000,7511,idle,0,1,0,0,0,0,0,0
1776502192.107,101.000,7561,idle,0,1,0,0,0,0,0,0
1776502193.115,102.002,7611,idle,0,1,0,0,0,0,0,0
1776502194.115,103.001,7661,idle,0,1,0,0,0,0,0,0
1776502195.106,104.000,7707,idle,0,1,0,0,0,0,0,0
1776502196.117,105.001,7760,idle,0,1,0,0,0,0,0,0
1776502197.109,106.003,7812,idle,0,1,0,0,0,0,0,0
1776502198.110,107.001,7863,idle,0,1,0,0,0,0,0,0
1776502199.109,108.002,7917,idle,0,1,0,0,0,0,0,0
1776502200.119,109.000,7966,idle,0,1,0,0,0,0,0,0
1776502201.113,110.002,8010,idle,0,1,0,0,0,0,0,0
1776502202.108,111.000,8060,idle,0,1,0,0,0,0,0,0
1776502203.113,112.000,8111,idle,0,1,0,0,0,0,0,0
1776502204.109,113.000,8162,idle,0,1,0,0,0,0,0,0
1776502205.109,114.000,8211,idle,0,1,0,0,0,0,0,0
1776502206.110,115.000,8264,idle,0,1,0,0,0,0,0,0
1776502207.106,116.000,8316,idle,0,1,0,0,0,0,0,0
1776502208.105,117.000,8368,idle,0,1,0,0,0,0,0,0
1776502209.109,118.000,8420,idle,0,1,0,0,0,0,0,0
1776502210.109,119.000,8473,idle,0,1,0,0,0,0,0,0
1776502211.110,120.000,8525,idle,0,1,0,0,0,0,0,0
1776502212.109,121.001,8578,idle,0,1,0,0,0,0,0,0
1776502213.109,122.000,8630,idle,0,1,0,0,0,0,0,0
1776502214.107,123.000,8682,idle,0,1,0,0,0,0,0,0
1776502215.108,124.000,8734,idle,0,1,0,0,0,0,0,0
1776502216.112,125.001,8787,idle,0,1,0,0,0,0,0,0
1776502217.112,126.000,8839,idle,0,1,0,0,0,0,0,0
1776502218.107,127.000,8891,idle,0,1,0,0,0,0,0,0
1776502219.108,128.000,8943,idle,0,1,0,0,0,0,0,0
1776502220.106,129.000,8995,idle,0,1,0,0,0,0,0,0
1776502221.111,130.000,9048,idle,0,1,0,0,0,0,0,0
1776502222.107,131.000,9098,idle,0,1,0,0,0,0,0,0
1776502223.110,132.000,9151,idle,0,1,0,0,0,0,0,0
1776502224.116,133.000,9203,idle,0,1,0,0,0,0,0,0
1776502225.109,134.000,9255,idle,0,1,0,0,0,0,0,0
1776502226.105,135.000,9307,idle,0,1,0,0,0,0,0,0
1776502227.111,136.000,9360,idle,0,1,0,0,0,0,0,0
1776502228.107,137.000,9408,idle,0,1,0,0,0,0,0,0
1776502229.113,138.000,9463,idle,0,1,0,0,0,0,0,0
1776502230.108,139.000,9515,idle,0,1,0,0,0,0,0,0
1776502231.116,140.000,9566,idle,0,1,0,0,0,0,0,0
1776502232.116,141.000,9620,idle,0,1,0,0,0,0,0,0
1776502233.108,142.000,9668,idle,0,1,0,0,0,0,0,0
1776502234.115,143.001,9723,idle,0,1,0,0,0,0,0,0
1776502235.108,144.000,9776,idle,0,1,0,0,0,0,0,0
1776502236.108,145.000,9828,idle,0,1,0,0,0,0,0,0
1776502237.107,146.000,9881,idle,0,1,0,0,0,0,0,0
1776502238.110,147.000,9933,idle,0,1,0,0,0,0,0,0
1776502239.106,148.000,9985,idle,0,1,0,0,0,0,0,0
1776502240.105,149.000,10037,idle,0,1,0,0,0,0,0,0
1776502241.117,150.000,10090,idle,0,1,0,0,0,0,0,0
