t_epoch,t_rel,total_frames,window,dnd,idle,privacy,emergency,alert_active,primary_proc,secondary_proc,secondary_drop
1776533186.323,0.320,625063,active_or_baseline,0,0,0,0,0,0,0,0
1776533187.008,1.000,625099,active_or_baseline,0,0,0,0,0,0,0,0
1776533188.004,2.000,625151,active_or_baseline,0,0,0,0,0,0,0,0
1776533189.003,3.000,625203,active_or_baseline,0,0,0,0,0,0,0,0
1776533190.009,4.000,625256,active_or_baseline,0,0,0,0,0,0,0,0
1776533191.002,5.001,625308,active_or_baseline,0,0,0,0,0,0,0,0
1776533192.000,6.000,625360,active_or_baseline,0,0,0,0,0,0,0,0
1776533193.003,7.001,625413,active_or_baseline,0,0,0,0,0,0,0,0
1776533194.004,8.000,625465,active_or_baseline,0,0,0,0,0,0,0,0
1776533195.001,9.000,625517,active_or_baseline,0,0,0,0,0,0,0,0
1776533196.008,10.000,625569,active_or_baseline,0,0,0,0,0,0,0,0
1776533197.007,11.001,625622,active_or_baseline,0,0,0,0,0,0,0,0
1776533198.004,12.004,625674,active_or_baseline,0,0,0,0,0,0,0,0
1776533199.001,13.000,625726,active_or_baseline,0,0,0,0,0,0,0,0
1776533200.000,14.000,625778,active_or_baseline,0,0,0,0,0,0,0,0
1776533201.003,15.000,625831,active_or_baseline,0,0,0,0,0,0,0,0
1776533202.005,16.002,625883,active_or_baseline,0,0,0,0,0,0,0,0
1776533203.013,17.000,625936,active_or_baseline,0,0,0,0,0,0,0,0
1776533204.009,18.000,625988,active_or_baseline,0,0,0,0,0,0,0,0
1776533205.023,19.000,626041,active_or_baseline,0,0,0,0,0,0,0,0
1776533206.003,20.000,626090,active_or_baseline,0,0,0,0,0,0,0,0
1776533207.000,21.000,626142,active_or_baseline,0,0,0,0,0,0,0,0
1776533208.002,22.000,626195,active_or_baseline,0,0,0,0,0,0,0,0
1776533209.000,23.000,626247,active_or_baseline,0,0,0,0,0,0,0,0
1776533210.001,24.000,626299,active_or_baseline,0,0,0,0,0,0,0,0
1776533211.003,25.000,626352,active_or_baseline,0,0,0,0,0,0,0,0
1776533212.001,26.000,626404,active_or_baseline,0,0,0,0,0,0,0,0
1776533213.007,27.000,626457,active_or_baseline,0,0,0,0,0,0,0,0
1776533214.010,28.000,626509,active_or_baseline,0,0,0,0,0,0,0,0
1776533215.012,29.000,626557,active_or_baseline,0,0,0,0,0,0,0,0
1776533216.002,30.000,626608,active_or_baseline,0,0,0,0,0,0,0,0
1776533219.381,33.366,626784,active_or_baseline,0,0,0,0,0,0,0,0
1776533220.367,34.366,626836,active_or_baseline,0,0,0,0,0,0,0,0
1776533221.370,35.366,626888,active_or_baseline,0,0,0,0,0,0,0,0
1776533222.368,36.366,626940,active_or_baseline,0,0,0,0,0,0,0,0
1776533223.368,37.366,626993,active_or_baseline,0,0,0,0,0,0,0,0
1776533224.369,38.366,627045,active_or_baseline,0,0,0,0,0,0,0,0
1776533225.369,39.366,627097,active_or_baseline,0,0,0,0,0,0,0,0
1776533226.372,40.366,627150,active_or_baseline,0,0,0,0,0,0,0,0
1776533227.367,41.366,627202,active_or_baseline,0,0,0,0,0,0,0,0
